Monitoring ,Enabled
Lockdown Browser,21
Webcam Recording,13
Microphone Recording,11
Face Detection,11
Screen Recording,8
Eye Movement Tracking,8
Live Proctor Visible,7
Internet Activity Monitoring,7
Live Proctor Not Visible,3
Keyboard Restrictions,3
Web Browser History,2
Other,2
Mouse Movement Tracking,1
