School,Yes,No,I'm Unsure
Arts & Sciences,14,26,0
Public Health,3,13,0
International Affairs,1,7,0
Business,2,5,1
Engineering & Applied Sci.,2,4,1
Education,0,6,0
Medicine,1,4,0
Professional Studies,0,3,0
Other,0,2,0
Arts & Design,0,1,0
Political Management,0,1,0
Public Affairs,1,0,0
Nursing,1,0,0
